City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Pangnirtung,CA,2022-07-22 12:39:46,66.1451,-65.7125,48.2,87,20,2.3
265,Lorengau,PG,2022-07-22 12:39:46,-2.0226,147.2712,82.08,79,98,7.72
266,Cayenne,GF,2022-07-22 12:37:32,4.9333,-52.3333,84.24,79,5,2.3
267,Petropavlovsk-Kamchatskiy,RU,2022-07-22 12:35:19,53.0452,158.6483,57.79,77,75,6.71
268,Morondava,MG,2022-07-22 12:39:48,-20.2833,44.2833,77.43,55,0,11.45
269,Vardo,NO,2022-07-22 12:39:48,70.3705,31.1107,55.38,88,75,11.5
270,Vanavara,RU,2022-07-22 12:39:49,60.34,102.2797,66.54,63,77,6.4
271,Kant,IN,2022-07-22 12:39:49,27.8,79.8,91.13,58,84,7.83
272,Christchurch,NZ,2022-07-22 12:39:50,-43.5333,172.6333,39.47,100,75,3.44
273,Merauke,ID,2022-07-22 12:40:50,-8.4667,140.3333,76.24,87,37,10.67
274,Fuerte Olimpo,PY,2022-07-22 12:40:50,-21.0415,-57.8738,82.62,33,3,8.86
275,Luderitz,NA,2022-07-22 12:40:51,-26.6481,15.1594,66.07,59,7,15.35
276,Praia,CV,2022-07-22 12:39:48,14.9215,-23.5087,86.54,54,40,13.8
277,Walvis Bay,NA,2022-07-22 12:40:51,-22.9575,14.5053,65.08,38,0,16.82
278,Barra Patuca,HN,2022-07-22 12:40:52,15.8,-84.2833,79.88,87,100,13.13
279,Marion,US,2022-07-22 12:37:32,39.7684,-86.1555,77.38,82,20,9.22
280,Micheweni,TZ,2022-07-22 12:40:52,-4.9667,39.8333,78.49,66,0,12.55
281,Haines Junction,CA,2022-07-22 12:40:53,60.7522,-137.5108,49.95,57,100,4.61
282,Padang,ID,2022-07-22 12:40:53,-0.9492,100.3543,80.65,84,100,2.19
283,Lyubech,UA,2022-07-22 12:40:53,51.7026,30.6569,79.05,49,95,11.9
284,Cacu,BR,2022-07-22 12:40:54,-18.5567,-51.1308,80.64,35,11,11.43
285,Marawi,PH,2022-07-22 12:40:54,7.9986,124.2928,70.07,95,98,0.76
286,Jacareacanga,BR,2022-07-22 12:40:54,-6.2222,-57.7528,85.23,42,16,1.48
287,Zonguldak,TR,2022-07-22 12:40:55,41.25,31.8333,74.25,34,0,8.14
288,Hambantota,LK,2022-07-22 12:40:55,6.1241,81.1185,86.34,74,20,13.8
289,Coquimbo,CL,2022-07-22 12:40:56,-29.9533,-71.3436,53.33,87,100,2.3
290,Shalazhi,RU,2022-07-22 12:40:56,43.0978,45.3608,70.05,73,84,1.88
291,Obuasi,GH,2022-07-22 12:40:56,6.206,-1.6619,85.41,51,100,2.8
292,Hithadhoo,MV,2022-07-22 12:40:57,-0.6,73.0833,80.13,75,100,8.39
293,High Prairie,CA,2022-07-22 12:40:57,55.4334,-116.4858,48.13,87,19,3.04
294,Bambous Virieux,MU,2022-07-22 12:40:58,-20.3428,57.7575,74.21,73,75,12.66
